,background,accessory,fur,body,mouth,eyes,head,type
0,Pink,none,Brown,Red Aldous,Black Scarf,Red Laser,Green mohawk,Cyberpunk
1,Blue,none,White,Alpha,Smoking,Red Laser,none,Cyberpunk
2,Cool Crystal,none,Brown,Chalk Slurry,Mask Respirator,Orange Glasses,Pink Growth,Cyberpunk
3,Kayla,none,Brown,Jacket,Blue Neck Gaiter,Purple Eyes,Growth,Cyberpunk
4,Creme de Peche,Green Jetpack,Black,Richer,Smoking,Blue Eyes,Purple Mohawk,Cyberpunk
5,Chamomile,none,White,SUI Tank Top,Smoking,Orange Glasses,Pink Visor Glasses,Cyberpunk
6,Light Teal,none,White,Neon X Factor,Mask Respirator,Swag Glasses,Ring,Cyberpunk
7,Spring Green,none,White,Purple Cyber Spectre,Black Scarf,Red Eyes,Android,Cyberpunk
8,Grey,none,Black,Capt,Smoking,Blue Eyes,Cap Back,Cyberpunk
9,Aquamarine,none,Brown,Robo Vest,Blue Neck Gaiter,Swag Glasses,Purple Punk,Cyberpunk
10,Nyanza,none,Brown,Red Aldous,Mask Respirator,Blue Eyes,Green Visor Glasses,Cyberpunk
11,Tuscan,Hover Guard,Brown,Red X Factor,Mask Respirator,Green Laser,Growth,Cyberpunk
12,Chamomile,none,Black,Richer,Black Scarf,Orange Glasses,Green Visor Glasses,Cyberpunk
13,Tuscan,Hover Guard,Brown,none,Black Scarf,Red Laser,Yellow Cyber Helmet,Cyberpunk
14,Creme,none,White,Manhunter,Smoking,Purple Eyes,Yellow Cyber Helmet,Cyberpunk
15,Bianchi Green,none,Black,none,Blue Neck Gaiter,Red Laser,Cap Back,Cyberpunk
16,Light Green,none,Brown,Valve,Smoking,Green Eyes,Green Cyber Helmet,Cyberpunk
17,Mindaro,none,Brown,Purple Future Star,Black Scarf,Green Eyes,Ring,Cyberpunk
18,Grey,Green Jetpack,Black,Codename,Smoking,Green Laser,Cap Back,Cyberpunk
19,Mindaro,Hover Guard,White,Red Aldous,Smile,Robo Glasses,Green Cyber Helmet,Cyberpunk
20,Light Green,Green Jetpack,White,Alpha,Smile,Cyber Glasses,Purple Mohawk,Cyberpunk
21,Blue,none,White,Cosmo,Smoking,Green Eyes,Purple Mohawk,Cyberpunk
22,Relaxing Green,none,White,Purple Cyber Spectre,Mask Respirator,Red Eyes,Purple Mohawk,Cyberpunk
23,Bianchi Green,none,White,Maverick,Smile,Red Laser,Pink Visor Glasses,Cyberpunk
24,Tuscan,Hover Guard,Black,none,Mask Respirator,Cyber Glasses,Green mohawk,Cyberpunk
25,Nyanza,none,Black,Spaceman,Blue Neck Gaiter,Orange Eyes,Pink Visor Glasses,Cyberpunk
26,Yellow Green,none,Black,Green Cyber Spectre,Mask Respirator,Orange Eyes,Pink Visor Glasses,Cyberpunk
27,Theatre Powder Rose,none,Brown,Purple Future Star,Blue Neck Gaiter,Green Laser,Purple Mohawk,Cyberpunk
28,Marley,none,Black,Obsidian Blade,Blue Neck Gaiter,Red Eyes,Pink Visor Glasses,Cyberpunk
29,Creme,none,White,Green Future Star,Smile,Purple Eyes,Ring,Cyberpunk
30,Grey,none,Brown,Alpha,Black Scarf,Red Eyes,Growth,Cyberpunk
31,Cool Crystal,none,White,Jacket,Black Scarf,Grey Eyes,none,Cyberpunk
32,Nimbus Cloud,none,Brown,Codename,Smile,Purple Eyes,Cap Back,Cyberpunk
33,Blue,none,White,Cyber Clown,Blue Neck Gaiter,Red Eyes,Ring,Cyberpunk
34,Theatre Powder Rose,none,White,Green Future Star,Smile,Grey Eyes,Purple Mohawk,Cyberpunk
35,Marley,Hover Guard,Black,Bloody,Blue Neck Gaiter,Cyber Glasses,Purple Punk,Cyberpunk
36,Pink,Red Jetpack,Black,Eset,Smoking,Grey Eyes,Green Visor Glasses,Cyberpunk
37,Creme de Peche,Green Jetpack,Brown,Green Cyber Spectre,Mask Respirator,Orange Eyes,Purple Punk,Cyberpunk
38,Kayla,none,Black,Jacket,Blue Neck Gaiter,Purple Eyes,Growth,Cyberpunk
39,Grey,none,Brown,Valve,Smoking,Purple Eyes,none,Cyberpunk
40,Yellow Green,none,White,none,Black Scarf,Orange Glasses,Pink Growth,Cyberpunk
41,Frosty,none,Brown,Key Code,Smile,Red Eyes,Purple Punk,Cyberpunk
42,Mindaro,none,Brown,Dustrial,Black Scarf,Swag Glasses,Android,Cyberpunk
43,Ancient Marble,none,Brown,Alpha,Black Scarf,Blue Eyes,Green Visor Glasses,Cyberpunk
44,Bianchi Green,none,White,Cyber Cop,Smile,Green Laser,Cyberpunk Hair,Cyberpunk
45,Grey,none,Brown,Glossy,Blue Neck Gaiter,Red Eyes,Green Cyber Helmet,Cyberpunk
46,Lotus Pink,none,White,Robo Vest,Blue Neck Gaiter,Cyber Glasses,Purple Mohawk,Cyberpunk
47,Nimbus Cloud,Hover Guard,White,none,Smoking,Purple Eyes,Green Visor Glasses,Cyberpunk
48,Bianchi Green,Red Jetpack,Brown,Bass Craze,Blue Neck Gaiter,Robo Glasses,Purple Punk,Cyberpunk
49,Spring Green,none,Brown,Obsidian Blade,Smile,Robo Glasses,Green mohawk,Cyberpunk
50,Kayla,none,Brown,Obsidian Blade,Mask Respirator,Orange Glasses,Yellow Cyber Helmet,Cyberpunk
51,Marley,Red Jetpack,Black,Glossy,Blue Neck Gaiter,Robo Glasses,Pink Growth,Cyberpunk
52,Spring Green,none,White,Maverick,Black Scarf,Red Laser,Pink Growth,Cyberpunk
53,Yellow Green,none,White,Blue Aldous,Blue Neck Gaiter,Purple Eyes,Cap Back,Cyberpunk
54,Creme,Red Jetpack,Black,Fortuna,Smile,Orange Glasses,Green Cyber Helmet,Cyberpunk
55,Nimbus Cloud,none,Brown,Star Wars,Smoking,Green Eyes,Yellow Cyber Helmet,Cyberpunk
56,Ancient Marble,none,Black,Eset,Blue Neck Gaiter,Robo Glasses,Purple Mohawk,Cyberpunk
57,Ancient Marble,Red Jetpack,Black,Key Code,Smoking,Green Laser,Green mohawk,Cyberpunk
58,Creme de Peche,Green Jetpack,White,Robo Vest,Smile,Flower Glasses,Purple Punk,Cyberpunk
59,Nimbus Cloud,none,Brown,Green Cyber Spectre,Mask Respirator,Green Laser,Yellow Cyber Helmet,Cyberpunk
60,Frosty,none,Brown,Purple Cyber Spectre,Black Scarf,Orange Glasses,Yellow Cyber Helmet,Cyberpunk
61,Frosty,none,Brown,Field OP,Smoking,Red Laser,Pink Growth,Cyberpunk
62,Ancient Marble,none,White,Eset,Smile,Orange Eyes,Yellow Cyber Helmet,Cyberpunk
63,Matcha,none,White,Green Future Star,Smoking,Flower Glasses,Ring,Cyberpunk
64,Relaxing Green,none,Black,Doom Catalyst,Black Scarf,Orange Glasses,Yellow Cyber Helmet,Cyberpunk
65,Kayla,Hover Guard,White,Autumn,Blue Neck Gaiter,Green Laser,Green mohawk,Cyberpunk
66,Lotus Pink,none,Black,Obsidian Blade,Mask Respirator,Orange Eyes,Green Cyber Helmet,Cyberpunk
67,Tuscan,none,Brown,Neon X Factor,Smoking,Purple Eyes,Growth,Cyberpunk
68,Chamomile,none,Brown,Cyber Ranger,Mask Respirator,Green Laser,Growth,Cyberpunk
69,Chamomile,none,White,Alpha,Smoking,Swag Glasses,none,Cyberpunk
70,Ancient Marble,none,White,Autumn,Smile,Red Eyes,Cap Back,Cyberpunk
71,Creme de Peche,none,Black,Bass Craze,Smile,Red Eyes,Yellow Cyber Helmet,Cyberpunk
72,Frosty,none,Brown,Red X Factor,Smoking,Blue Eyes,Cyberpunk Hair,Cyberpunk
73,Bianchi Green,none,White,Red Aldous,Blue Neck Gaiter,Green Laser,Green Visor Glasses,Cyberpunk
74,Gainsboro,none,Brown,Doom Catalyst,Smoking,Grey Eyes,Pink Growth,Cyberpunk
75,Nyanza,none,White,Purple Cyber Spectre,Black Scarf,Flower Glasses,none,Cyberpunk
76,Theatre Powder Rose,none,Brown,Cyber Ranger,Mask Respirator,Orange Glasses,Cap Back,Cyberpunk
77,Bianchi Green,none,Brown,none,Smoking,Flower Glasses,Green Cyber Helmet,Cyberpunk
78,Cool Crystal,none,Brown,Doom Catalyst,Smoking,Green Laser,Growth,Cyberpunk
79,Bianchi Green,none,Black,Codename,Blue Neck Gaiter,Cyber Glasses,none,Cyberpunk
80,Pink,none,Brown,Manhunter,Blue Neck Gaiter,Orange Eyes,Pink Visor Glasses,Cyberpunk
81,Lotus Pink,none,White,Spaceman,Black Scarf,Red Eyes,Green Visor Glasses,Cyberpunk
82,Kayla,none,White,Manhunter,Blue Neck Gaiter,Orange Glasses,Android,Cyberpunk
83,Spring Green,none,White,Red X Factor,Mask Respirator,Purple Eyes,Cap Back,Cyberpunk
84,Kayla,none,Black,Neon X Factor,Mask Respirator,Flower Glasses,Purple Mohawk,Cyberpunk
85,Relaxing Green,none,Brown,Codename,Smoking,Green Laser,Cyberpunk Hair,Cyberpunk
86,Nimbus Cloud,Red Jetpack,Brown,Jacket,Blue Neck Gaiter,Red Laser,Green Visor Glasses,Cyberpunk
87,Blue Sky,none,Brown,Manhunter,Mask Respirator,Green Laser,Purple Punk,Cyberpunk
88,Cool Crystal,none,Brown,Cyber Clown,Smile,Green Laser,Yellow Cyber Helmet,Cyberpunk
89,Blue,none,Black,Bloody,Smoking,Cyber Glasses,Cap Back,Cyberpunk
90,Light Green,none,Black,none,Black Scarf,Flower Glasses,Ring,Cyberpunk
91,Pink,none,Brown,Richer,Blue Neck Gaiter,Green Laser,Pink Growth,Cyberpunk
92,Relaxing Green,Hover Guard,White,SUI Tank Top,Blue Neck Gaiter,Grey Eyes,Green Visor Glasses,Cyberpunk
93,Aquamarine,none,White,Alpha,Blue Neck Gaiter,Red Eyes,Ring,Cyberpunk
94,Blue Sky,none,White,Valve,Blue Neck Gaiter,Swag Glasses,Yellow Cyber Helmet,Cyberpunk
95,Gainsboro,none,Brown,Autumn,Mask Respirator,Cyber Glasses,Green mohawk,Cyberpunk
96,Yellow,none,Black,Red X Factor,Smoking,Purple Eyes,Cap Back,Cyberpunk
97,Relaxing Green,Red Jetpack,White,Maverick,Smoking,Cyber Glasses,Pink Growth,Cyberpunk
98,Lotus Pink,none,White,Bass Craze,Mask Respirator,Flower Glasses,Android,Cyberpunk
99,Grey,none,Brown,Obsidian Blade,Blue Neck Gaiter,Red Laser,Purple Mohawk,Cyberpunk
100,Arabella,none,Brown,Valve,Mask Respirator,Orange Eyes,none,Cyberpunk
101,Relaxing Green,none,Black,none,Smoking,Flower Glasses,Yellow Cyber Helmet,Cyberpunk
102,Lilly,none,Black,Cyber Cop,Black Scarf,Red Laser,Cyberpunk Hair,Cyberpunk
103,Lotus Pink,none,Black,none,Blue Neck Gaiter,Green Eyes,Green Visor Glasses,Cyberpunk
104,Blue Sky,Green Jetpack,Brown,Red Aldous,Smoking,Red Laser,Cyberpunk Hair,Cyberpunk
105,Frosty,none,Brown,Cyber Cop,Black Scarf,Cyber Glasses,Green mohawk,Cyberpunk
106,Relaxing Green,none,Black,Eset,Mask Respirator,Flower Glasses,Android,Cyberpunk
107,Relaxing Green,none,Brown,Star Wars,Smoking,Red Eyes,Green Cyber Helmet,Cyberpunk
108,Light Green,none,Brown,Manhunter,Smile,Swag Glasses,Yellow Cyber Helmet,Cyberpunk
109,Yellow,none,Black,none,Blue Neck Gaiter,Robo Glasses,Green mohawk,Cyberpunk
110,Tuscan,none,White,Chalk Slurry,Mask Respirator,Flower Glasses,Purple Mohawk,Cyberpunk
111,Frosty,none,Brown,Dustrial,Blue Neck Gaiter,Swag Glasses,Purple Mohawk,Cyberpunk
112,Nimbus Cloud,none,Black,Bloody,Smoking,Red Eyes,Growth,Cyberpunk
113,Matcha,none,Brown,Bass Craze,Smile,Grey Eyes,Green Visor Glasses,Cyberpunk
114,Spring Green,Hover Guard,Black,Jacket,Mask Respirator,Orange Eyes,Cyberpunk Hair,Cyberpunk
115,Mindaro,none,Brown,Key Code,Blue Neck Gaiter,Swag Glasses,Growth,Cyberpunk
116,Yellow Green,none,White,Purple Cyber Spectre,Smoking,Swag Glasses,Yellow Cyber Helmet,Cyberpunk
117,Aquamarine,Hover Guard,White,Dustrial,Black Scarf,Green Eyes,Ring,Cyberpunk
118,Blue,Green Jetpack,Brown,Maverick,Smoking,Blue Eyes,Pink Visor Glasses,Cyberpunk
119,Spring Green,none,Brown,Codename,Smoking,Orange Glasses,Growth,Cyberpunk
120,Ancient Marble,none,Brown,Blue Aldous,Blue Neck Gaiter,Orange Eyes,Green mohawk,Cyberpunk
121,Bianchi Green,none,Black,Star Wars,Blue Neck Gaiter,Green Laser,Pink Growth,Cyberpunk
122,Spring Green,Red Jetpack,Black,Jacket,Smoking,Grey Eyes,Green Visor Glasses,Cyberpunk
123,Relaxing Green,Green Jetpack,Black,SUI Tank Top,Blue Neck Gaiter,Blue Eyes,Purple Punk,Cyberpunk
124,Nyanza,none,White,Doom Catalyst,Smile,Purple Eyes,Pink Growth,Cyberpunk
125,Aquamarine,none,Black,Neon X Factor,Black Scarf,Green Laser,Pink Growth,Cyberpunk
126,Spring Green,none,Brown,Purple Future Star,Black Scarf,Orange Eyes,Yellow Cyber Helmet,Cyberpunk
127,Relaxing Green,Green Jetpack,White,Valve,Blue Neck Gaiter,Robo Glasses,none,Cyberpunk
128,Marley,none,White,Bloody,Smile,Red Eyes,Cyberpunk Hair,Cyberpunk
129,Cheesecake,none,Brown,Cyber Clown,Smile,Purple Eyes,Purple Punk,Cyberpunk
130,Mindaro,none,Black,Robo Vest,Black Scarf,Red Laser,Green Visor Glasses,Cyberpunk
131,Nyanza,none,Black,none,Mask Respirator,Flower Glasses,Cyberpunk Hair,Cyberpunk
132,Relaxing Green,none,Black,none,Mask Respirator,Cyber Glasses,Pink Visor Glasses,Cyberpunk
